index, v, h, c, numDocs 
crisis3, 0.4269590235660196, 0.3593627822477077, 0.5258765522794423, 1501
crisis3, 0.5294443894859547, 0.5019279674171647, 0.5601527805988867, 1501
crisis3, 0.3481543820127126, 0.33715392867654714, 0.35989687848347823, 1501
crisis3, 0.5234969650138098, 0.49205333318710565, 0.5592336109890793, 1501
crisis3, 0.2494478137369683, 0.2272483634432266, 0.2764540741305522, 1501
crisis3, 0.4269590235660196, 0.3593627822477077, 0.5258765522794423, 1501
crisis3, 0.02157613981699181, 0.012064555418664497, 0.10196219716923047, 1501
crisis3, 0.6801147290155366, 0.6698528331105073, 0.6906959334544638, 1501
crisis3, 0.62189477366658, 0.6057152593036539, 0.6389623654269045, 1501
crisis3, 0.5198228057671301, 0.4882505530329002, 0.5557605260178249, 1501
crisis3, 0.49775398805490134, 0.4421952770576199, 0.5692799956746015, 1501
NG3, 0.944946241954391, 0.944948055749236, 0.9449444281665091, 1193
NG3, 0.8822414824100038, 0.8821880684932438, 0.8822949027952691, 1193
NG3, 0.9491937808071663, 0.9491683551716881, 0.9492192078048484, 1193
NG3, 0.9217067926715217, 0.921434882061714, 0.9219788638074947, 1193
NG3, 0.9077950033684942, 0.9076714259408661, 0.907918614450283, 1193
NG3, 0.8796900559482063, 0.878770332763842, 0.8806117063186467, 1193
NG3, 0.8505439131676966, 0.8498301102188539, 0.8512589162222147, 1193
NG3, 0.8963297822724445, 0.8962269087038985, 0.896432679460424, 1193
NG3, 0.935752872110285, 0.935702703314241, 0.9358030462863349, 1193
NG3, 0.6091909013864458, 0.5204709848323973, 0.7343726783580939, 1193
NG3, 0.8915877366852994, 0.8911316516864826, 0.8920442887756901, 1193
NG4, 0.7652138157955994, 0.7558996693978925, 0.7747603624219347, 1600
NG4, 0.6803804829047104, 0.6428741083796852, 0.7225343734810264, 1600
NG4, 0.7446514906512025, 0.6887208594688377, 0.8104692388104798, 1600
NG4, 0.6159775181155415, 0.5829860477358727, 0.6529269806741319, 1600
NG4, 0.9186296941349144, 0.9183597573217244, 0.918899789681774, 1600
NG4, 0.8384962419526992, 0.8347482717012054, 0.8422780203291278, 1600
NG4, 0.7410504941844321, 0.670011317560715, 0.8289404198512723, 1600
NG4, 0.6353676282450111, 0.5980305070120296, 0.6776773803572724, 1600
NG4, 0.6737380112813636, 0.6143307067934576, 0.7458650093769127, 1600
NG4, 0.7607613952010863, 0.7518671885926814, 0.7698685487486429, 1600
NG4, 0.6849892668482144, 0.6491285498092025, 0.7250438807715393, 1600
R4, 0.546855570376019, 0.4855338027237403, 0.6259060155627132, 800
R4, 0.5845099963613377, 0.5264259520118493, 0.6570012767612271, 800
R4, 0.5875175996812265, 0.5485379089160072, 0.6324609516652411, 800
R4, 0.47304607841790747, 0.414898597612061, 0.5501486759131456, 800
R4, 0.595868423304594, 0.5389741614553805, 0.6661918160261433, 800
R4, 0.49249707430225004, 0.4665498089022393, 0.5215004300116223, 800
R4, 0.36264634594624207, 0.311382836320531, 0.43411556233382376, 800
R4, 0.7743582759153718, 0.7676288932672809, 0.7812066876604524, 800
R4, 0.4571317135457641, 0.39699747412841735, 0.5387353588091027, 800
R4, 0.4771773939745554, 0.4086494926451061, 0.5733193802696396, 800
R4, 0.5688913708032386, 0.5276750247957886, 0.6170920188790047, 800
R5, 0.36769825227479863, 0.32827768576136584, 0.41787833247642386, 500
R5, 0.722932522608112, 0.7179388415902704, 0.7279961580950687, 500
R5, 0.562055258751224, 0.5339196572206223, 0.59332109764136, 500
R5, 0.4788618100691048, 0.4614246350675592, 0.49766864119557486, 500
R5, 0.5402093940850281, 0.5213998546593474, 0.5604268347880814, 500
R5, 0.5348930788182727, 0.511323692817165, 0.5607403163881158, 500
R5, 0.39644388526139906, 0.35895569331711996, 0.44267550868319583, 500
R5, 0.5201202608355943, 0.5000257770519887, 0.5418974366386334, 500
R5, 0.5541362487601275, 0.5290616211557204, 0.5817059286478061, 500
R5, 0.42417948208759026, 0.38717892237326873, 0.4689991509483352, 500
R5, 0.4578913406995472, 0.44143310968733995, 0.47562434526493785, 500
NG5, 0.6731573573440078, 0.6184665375156986, 0.7384590838845182, 2968
NG5, 0.7279332273520406, 0.7177337425095538, 0.7384267742556214, 2968
NG5, 0.6632370331354588, 0.6080476709606865, 0.7294450076702296, 2968
NG5, 0.7149921482036466, 0.7044250367495463, 0.7258811233719528, 2968
NG5, 0.735799026077642, 0.7264253029119426, 0.7454178269712735, 2968
NG5, 0.6658738106115458, 0.6178111656901647, 0.7220453588565258, 2968
NG5, 0.7229129619458998, 0.7113801229095196, 0.7348259021252125, 2968
NG5, 0.7271204190558449, 0.7184626215063309, 0.7359894224351263, 2968
NG5, 0.6350281483253114, 0.5885585882425237, 0.689464739290899, 2968
NG5, 0.5866553926550616, 0.5601978517359008, 0.6157359375231577, 2968
NG5, 0.6297958528572847, 0.5813605096659655, 0.6870353682575454, 2968
R6, 0.47357341269070935, 0.44555335649893857, 0.5053542398121875, 1197
R6, 0.47310232524827, 0.4425237047280256, 0.5082206384060383, 1197
R6, 0.5482433018418115, 0.5108742867298356, 0.5915106389964027, 1197
R6, 0.5035628215769834, 0.47017361119955386, 0.542056790125858, 1197
R6, 0.5942796835831792, 0.5532151606652781, 0.6419293590643643, 1197
R6, 0.498205972112308, 0.46182893980615103, 0.5408036298573258, 1197
R6, 0.5941765004945816, 0.5576607335884507, 0.6358094663299526, 1197
R6, 0.6375478276995187, 0.6138242817825224, 0.6631788670211801, 1197
R6, 0.48642524929828157, 0.4305571512579399, 0.5589537987280722, 1197
R6, 0.5601656895961398, 0.5026068986067949, 0.6326128235014502, 1197
R6, 0.5463117980546641, 0.510864859109775, 0.5870445515524707, 1197
NG6, 0.6432200055095003, 0.6020812150592527, 0.6903929271128304, 3517
NG6, 0.618531426123407, 0.573899689800836, 0.6706905098853095, 3517
NG6, 0.7025165871946354, 0.6857330723247852, 0.7201422772875568, 3517
NG6, 0.6468821008612036, 0.6175636566388286, 0.6791230377906232, 3517
NG6, 0.6605697986062062, 0.6039796984703455, 0.7288606670545474, 3517
NG6, 0.6905943083080993, 0.6497129736345284, 0.7369657766006941, 3517
NG6, 0.656843119587993, 0.6064499777658592, 0.7163701073717389, 3517
NG6, 0.5723181113069009, 0.5022674872203243, 0.6650753456786035, 3517
NG6, 0.7124271184546631, 0.6971280652250414, 0.7284127397991785, 3517
NG6, 0.6369343947733191, 0.6088428544408165, 0.6677435686921158, 3517
NG6, 0.6629800504480607, 0.6264760014941827, 0.7040014178415341, 3517
crisis4, 0.483743426505279, 0.4413532775165052, 0.535141549428494, 2000
crisis4, 0.5956095963436792, 0.5624602267327731, 0.6329110844717669, 2000
crisis4, 0.5636764556177857, 0.523942809777516, 0.609931095810672, 2000
crisis4, 0.5678417582921069, 0.5158873131026425, 0.6314326472933092, 2000
crisis4, 0.6035120991121072, 0.545301872824453, 0.6756352326259538, 2000
crisis4, 0.610194573570478, 0.5737884463497941, 0.6515335244142265, 2000
crisis4, 0.5783127925944099, 0.5108974582906776, 0.6662242283347714, 2000
crisis4, 0.47332725045237345, 0.440043366176838, 0.5120581716219919, 2000
crisis4, 0.5850295252504448, 0.5504714791629055, 0.624217257145037, 2000
crisis4, 0.5815332310718355, 0.5200079959293772, 0.6595709935461296, 2000
crisis4, 0.5015543327910191, 0.4774719697304048, 0.5281950262679088, 2000
