index, v, h, c, numDocs 
crisis3, 0.4376889675972968, 0.41101899792181634, 0.4680601943605678, 3001
crisis3, 0.4145634360994441, 0.3907148525350724, 0.44151263144599223, 3001
crisis3, 0.42154106014246595, 0.4040008688898699, 0.44067343568174594, 3001
crisis3, 0.4585457579163849, 0.41416769143501536, 0.5135753551694558, 3001
crisis3, 0.40607580931867243, 0.36154192539854524, 0.46312210022861655, 3001
crisis3, 0.40801267733723023, 0.4049426935133111, 0.41112956556869884, 3001
crisis3, 0.4014315205108434, 0.3959990599339086, 0.4070151032163399, 3001
crisis3, 0.46132228754131377, 0.44562909285776475, 0.47816112444930425, 3001
crisis3, 0.45925759941533467, 0.44940491232080565, 0.4695519880297809, 3001
crisis3, 0.45471139133353305, 0.4263928408026812, 0.48705904057166804, 3001
crisis3, 0.4215420243148659, 0.4049312462213259, 0.4395738861344486, 3001
crisis4, 0.6237494780541468, 0.5956567032418323, 0.6546232752575044, 2000
crisis4, 0.5399246952695163, 0.48410404895731035, 0.610296195224278, 2000
crisis4, 0.02072109415325395, 0.011192682938494349, 0.13935503060498108, 2000
crisis4, 0.4786727975805235, 0.4019911363210499, 0.5915051253547037, 2000
crisis4, 0.5665748319336171, 0.5269369106799208, 0.612661216391246, 2000
crisis4, 0.5205522195734169, 0.48312737338612605, 0.5642620609163108, 2000
crisis4, 0.4733476114731405, 0.4580443751965337, 0.48970875278702913, 2000
crisis4, 0.3737880934968011, 0.29443196291648, 0.511703992436761, 2000
crisis4, 0.5811664729573282, 0.5192438510075744, 0.6598581004353482, 2000
crisis4, 0.5556518386370642, 0.4898850776399141, 0.6418151101471026, 2000
crisis4, 0.5897909932658947, 0.5567935368488492, 0.626945915424559, 2000
NG3, 0.8599284085427976, 0.8592076855396945, 0.8606503416787737, 1200
NG3, 0.9274897812591366, 0.9273786813201511, 0.9276009078208506, 1200
NG3, 0.9434325198175052, 0.9433897233523106, 0.9434753201657622, 1200
NG3, 0.7892874915210805, 0.7853196863375376, 0.7932955947530554, 1200
NG3, 0.7323836132183192, 0.7253298216590944, 0.7395759475473873, 1200
NG3, 0.7752193513786158, 0.7696620302345908, 0.7808575091355561, 1200
NG3, 0.8122056014935705, 0.808190220537487, 0.8162610814018442, 1200
NG3, 0.8498530771039303, 0.8481875012091781, 0.8515252072129992, 1200
NG3, 0.9112141807404882, 0.9110993978019905, 0.9113289926040034, 1200
NG3, 0.8302935000588554, 0.8288265891052153, 0.8317656126866952, 1200
NG3, 0.8288843958884029, 0.8273756613809133, 0.8303986428573799, 1200
NG4, 0.9124216992989996, 0.9119561749508158, 0.9128876991603849, 1600
NG4, 0.7258711107507299, 0.6678271056356169, 0.7949652959279909, 1600
NG4, 0.5714810368105457, 0.5177005746550741, 0.6377306204019138, 1600
NG4, 0.6852878157983192, 0.6268577673986092, 0.7557301937937965, 1600
NG4, 0.6323365567343339, 0.5897578340357041, 0.6815418029572872, 1600
NG4, 0.6935993663284129, 0.6463196145179957, 0.7483423107255507, 1600
NG4, 0.5478939229249116, 0.5016778494122957, 0.6034891608984941, 1600
NG4, 0.7002943127713912, 0.640300343062958, 0.7726930278579265, 1600
NG4, 0.7386028194551296, 0.6829333666158088, 0.8041535612108528, 1600
NG4, 0.8488479635462163, 0.8462841602389362, 0.8514273480525142, 1600
NG4, 0.855544827395814, 0.8538527142040624, 0.8572436605580742, 1600
R4, 0.6045441222417249, 0.5474131870275076, 0.6749896073764401, 800
R4, 0.5801773793639258, 0.5171885577880343, 0.6606368920353589, 800
R4, 0.3848398897142124, 0.33094863917204664, 0.4596962327187075, 800
R4, 0.534950682728239, 0.49245110743294407, 0.5854787400766984, 800
R4, 0.5456783926367073, 0.4945168962072826, 0.6086475662398374, 800
R4, 0.7744057501299363, 0.7683946330286577, 0.780511658181046, 800
R4, 0.41401082467157535, 0.34254539813541773, 0.5231574355450629, 800
R4, 0.5694582743699094, 0.520593672878157, 0.6284462683925912, 800
R4, 0.604544122241725, 0.5474131870275079, 0.6749896073764403, 800
R4, 0.3557387136858865, 0.29668952850207825, 0.4441331373269699, 800
R4, 0.7769850695089744, 0.7712390879087173, 0.7828173126425577, 800
R5, 0.5236781183510746, 0.49677615990367174, 0.5536605411698465, 500
R5, 0.6179724122000747, 0.610464447106417, 0.6256673544356295, 500
R5, 0.4798787614161812, 0.4431092489957745, 0.5233027893660267, 500
R5, 0.5306263944932158, 0.5053101026697315, 0.5586131983825199, 500
