index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, maxFeature, numDocs, useHashingPipeLine, date 
crisis3, 0.6281724388330474, 0.6129939463892465, 0.6441216929938497, 0.5658559852268508, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.711924  
crisis3, 0.434149934037192, 0.3667394565671713, 0.5319228073329861, 0.2755907245035075, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.736365  
crisis3, 0.5163632965594149, 0.48376090620245965, 0.5536776265990128, 0.3832773913438414, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.758306  
crisis3, 0.4333486036839601, 0.3650687097808361, 0.533045745556043, 0.27209780773950554, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.783239  
crisis3, 0.3343016197706896, 0.31043813059121284, 0.3621394041844808, 0.2384104684977077, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.804183  
crisis3, 0.5395891684826593, 0.511407289010774, 0.5710582026235249, 0.4289463745404245, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.824637  
crisis3, 0.43740504943257497, 0.3972515364310564, 0.4865886018102777, 0.2556335620456378, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.845581  
crisis3, 0.3546729316743891, 0.3014821577995664, 0.43065352918852146, 0.15703011858967084, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.864530  
crisis3, 0.3543647632248759, 0.3024104125089724, 0.42787382927876366, 0.16043263812309957, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.882482  
crisis3, 0.4335329165741866, 0.39289286162703, 0.4835504074695476, 0.25019523156089085, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.903426  
crisis3, 0.3526068189105021, 0.30060055640876154, 0.4263726423168186, 0.15832154857188602, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:11:02.924876  
NG3, 0.835926061681001, 0.8352675197094387, 0.8365856428877978, 0.8807625439799203, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.142767  
NG3, 0.8855640297565767, 0.8849618389999618, 0.8861670406177903, 0.9163891620955142, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.168697  
NG3, 0.8797532015232283, 0.8793116916623915, 0.880195154978492, 0.9163911363425198, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.193631  
NG3, 0.8757802619234838, 0.8756512823654082, 0.875909279483393, 0.9213378623347008, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.215574  
NG3, 0.8489215945032078, 0.8484541060405311, 0.849389598411431, 0.8923637162821567, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.238028  
NG3, 0.8512699993085564, 0.8507665118470069, 0.8517740830552943, 0.8925447486155833, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.260966  
NG3, 0.8503285725293742, 0.8497160258585119, 0.8509420029875093, 0.892658325638512, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.282907  
NG3, 0.8852880959167656, 0.8851944752037378, 0.8853817364350798, 0.9263107078464108, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.304849  
NG3, 0.8623234216908958, 0.8618708017266793, 0.8627765173005919, 0.9023034893278398, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.329299  
NG3, 0.8545627515134844, 0.8542219052071321, 0.8549038699331558, 0.8995735460901616, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.350243  
NG3, 0.8893792857783264, 0.8893683103521767, 0.8893902614753684, 0.9335431741839834, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 17:11:04.375176  
crisis4, 0.502408765069011, 0.4339605619411322, 0.5964930726867468, 0.27394820433194017, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 17:11:05.647892  
crisis4, 0.6329501667189974, 0.6045766869735899, 0.6641179882617569, 0.48739943531094937, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 17:11:05.673823  
