index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, nFeature, numDocs, useHashing, date 
crisis3, 0.6484218226730194, 0.6354755388498344, 0.6619065752138659, 0.598541407295281, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:05.276083  
crisis3, 0.43169021920283746, 0.36363227283073785, 0.5310897514283739, 0.27003091038741917, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:06.358572  
crisis3, 0.3792903716378632, 0.3732521772849288, 0.3855271411689686, 0.26651199330899816, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:07.509905  
crisis3, 0.5149425115269776, 0.463153020460012, 0.5797723000113283, 0.38799010805720163, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:08.656236  
crisis3, 0.5420571089242777, 0.5116074130700938, 0.5763607759169783, 0.42533836833944627, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:09.801947  
crisis3, 0.5330611459310424, 0.5027910449792632, 0.5672095046540904, 0.39949697227564446, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:10.866988  
crisis3, 0.5550898914265058, 0.5250707644435101, 0.5887496405855797, 0.44426594843260236, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:11.959536  
crisis3, 0.3526200029020185, 0.2994766064951014, 0.428693483162848, 0.15439589100135565, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:13.041290  
crisis3, 0.28374501537558866, 0.2629118804837101, 0.3081639215697939, 0.16823285438227792, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:14.113794  
crisis3, 0.49005686879306887, 0.4147604166625919, 0.5987563109066009, 0.3613362621858684, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:15.215380  
crisis3, 0.556835336386639, 0.527324936663952, 0.5898444836434722, 0.44708733753464863, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:29:16.316524  
NG3, 0.5787268172443606, 0.5108855644477451, 0.6673444820610832, 0.41963898154510265, 0.30850542435529565, 0.02122932106974856, 0.815267068496267, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:29:17.722139  
NG3, 0.8748379747449495, 0.8747947392949716, 0.8748812144688362, 0.9214545003935823, 0.30850542435529565, 0.02122932106974856, 0.8152670684962671, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:29:19.120540  
NG3, 0.8215057508119253, 0.8197582117924271, 0.8232607564641372, 0.8510609974730848, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:20.442748  
NG3, 0.8828980434862185, 0.8826904704871901, 0.8831057141337114, 0.9236955428351316, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:21.805977  
NG3, 0.6360964133057366, 0.551073026947147, 0.7521421440598836, 0.5127386582959943, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:23.122793  
NG3, 0.567879380512216, 0.5077719451552901, 0.6441279380984395, 0.44143542980850153, 0.30850542435529565, 0.02122932106974856, 0.8122886595531824, 0.8691364827976628, 1000, 1200, False, 2023-06-28 16:29:24.525920  
NG3, 0.8338400357922252, 0.8315607683550112, 0.8361318322923559, 0.8503297644138338, 0.30850542435529565, 0.02122932106974856, 0.815267068496267, 0.8714729027549073, 1000, 1200, False, 2023-06-28 16:29:25.936535  
NG3, 0.8230172459367068, 0.821207035354775, 0.8248354547491707, 0.8509827329475784, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:27.319660  
NG3, 0.827509240188223, 0.8263859075982894, 0.8286356308984344, 0.8657616068589853, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:28.679472  
NG3, 0.8746534852241679, 0.8746129710540773, 0.8746940031478593, 0.9215074647551823, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:30.047576  
NG3, 0.8230172459367068, 0.821207035354775, 0.8248354547491707, 0.8509827329475784, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:29:31.417689  
crisis4, 0.5759528420800932, 0.5371418716770923, 0.6208091587370449, 0.38577395179148816, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:29:33.226788  
crisis4, 0.5933943482063085, 0.5595603796696992, 0.6315831956407424, 0.41956641529113153, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:29:34.866224  
