index, v, h, c, numDocs 
crisis3, 0.5555113837663213, 0.5264026680364401, 0.5880278116853934, 1500
crisis3, 0.5579757174145813, 0.5289845355048238, 0.5903288985288533, 1500
crisis3, 0.44206250755456206, 0.3716921400408849, 0.5453013172154979, 1500
crisis3, 0.442062507554562, 0.3716921400408849, 0.5453013172154978, 1500
crisis3, 0.43257623954090824, 0.3631533737537789, 0.5348151333767481, 1500
crisis3, 0.556777952252286, 0.5274560929718644, 0.5895517783862582, 1500
crisis3, 0.3471545725778476, 0.3239024238882751, 0.3740033414156948, 1500
crisis3, 0.3726102167713096, 0.34610299582853465, 0.403514446794447, 1500
crisis3, 0.3564574970578725, 0.3032619083405773, 0.43228524722132017, 1500
crisis3, 0.42230884036106087, 0.3812059011980673, 0.47334672156470936, 1500
crisis3, 0.4823038632820032, 0.4075305331611336, 0.5906815803028794, 1500
crisis3, 0.5561826410043991, 0.5266946123925286, 0.589168386097828, 1500
crisis3, 0.43882041189778515, 0.37040074167507914, 0.5382436894053415, 1500
crisis3, 0.28880455741104866, 0.2687340127649363, 0.31211503726307643, 1500
crisis3, 0.5166455171636319, 0.48087882495367823, 0.5581602273561828, 1500
crisis3, 0.003950840030686743, 0.002003650697796596, 0.14020389690338583, 1500
crisis3, 0.6419270578242887, 0.6287584299184928, 0.6556590893483849, 1500
crisis3, 0.5275064234961023, 0.49742765460749316, 0.561456956565609, 1500
crisis3, 0.5816959163346728, 0.5593263872651686, 0.6059292667639519, 1500
crisis3, 0.2586284152141354, 0.23849364017702115, 0.2824764277745848, 1500
crisis3, 0.6199655261928214, 0.6035022632221182, 0.6373521997973205, 1500
crisis3, 0.17024645871422384, 0.11137887141316934, 0.36110064254369106, 1500
crisis3, 0.432232417555403, 0.36466352525990126, 0.5305359963747653, 1500
crisis3, 0.4356500814725458, 0.3667735408305737, 0.5363764080996188, 1500
crisis3, 0.4165178104314187, 0.3660441772340287, 0.4831373589956681, 1500
crisis3, 0.4988734993303286, 0.44704840720119177, 0.5642900981938482, 1500
crisis3, 0.5579757174145813, 0.5289845355048238, 0.5903288985288533, 1500
crisis3, 0.43075971731385887, 0.36323081655361356, 0.5291315189437328, 1500
crisis3, 0.4175878594293996, 0.36649559251148245, 0.4852330256162073, 1500
crisis3, 0.4842671477201921, 0.3740148661703166, 0.6866899363527538, 1500
crisis3, 0.4360156488413483, 0.3966687261033209, 0.4840280395937616, 1500
crisis3, 0.558578188019692, 0.5297515173254874, 0.5907226296286372, 1500
NG3, 0.8091265775886716, 0.804584369043065, 0.8137203625623477, 1200
NG3, 0.7697808361122025, 0.76556787379309, 0.7740404233397111, 1200
crisis4, 0.610974819363568, 0.5649004497380878, 0.6652324612560269, 2000
crisis4, 0.5647063726757577, 0.4934510865332563, 0.6600136072201646, 2000
R4, 0.6192575034849284, 0.5674651306848804, 0.6814535667620996, 800
R4, 0.6163129347618859, 0.5645324879720763, 0.6785515151305306, 800
NG5, 0.7502295188523413, 0.7444408020295843, 0.7561089664619604, 2000
NG5, 0.7456222528942069, 0.7358395768448827, 0.7556685467139322, 2000
R5, 0.4991095613167554, 0.4798249858037524, 0.5200091736187427, 500
R5, 0.6915682783831849, 0.6839518058488917, 0.6993562949756049, 500
crisis3, 0.43047510494695107, 0.3894416297447269, 0.48117394569943045, 1500
crisis3, 0.5214258623879566, 0.49327805065871766, 0.5529804588791075, 1500
NG3, 0.8925273901708364, 0.8921644277576484, 0.8928906480347913, 1200
NG3, 0.9082271109178371, 0.9077120840319032, 0.9087427225779192, 1200
crisis4, 0.5894858905951547, 0.5296752113328117, 0.664523585772316, 2000
crisis4, 0.5801772353763867, 0.5182530046316585, 0.6589078152832062, 2000
R4, 0.5057002621758114, 0.47722371052844026, 0.5377909380696619, 800
R4, 0.6787247097646693, 0.6676216217169877, 0.6902033502388925, 800
NG5, 0.6762861526538163, 0.6603864216202525, 0.6929703884743122, 2000
NG5, 0.6303018757914496, 0.6001840849705654, 0.6636020379724352, 2000
R5, 0.53480719304005, 0.5170835375399055, 0.5537889710910278, 500
R5, 0.5047674575831876, 0.48620629978845104, 0.5248020256531271, 500
NG6, 0.5483320264727135, 0.5116652162901266, 0.5906597186779714, 2400
NG6, 0.6266290843408355, 0.5790947656093374, 0.6826648311621737, 2400
R6, 0.5850713231600232, 0.5480866913679813, 0.627408557091559, 1197
R6, 0.6029600083530945, 0.5800923302977259, 0.6277045979827792, 1197
crisis3, 0.385100250485571, 0.3806701372821118, 0.38963469019200414, 1500
crisis3, 0.5080485411716169, 0.45479322025092317, 0.5754301959257884, 1500
crisis3, 0.5579757174145813, 0.5289845355048238, 0.5903288985288533, 1500
crisis3, 0.5507021898118939, 0.5205432433546274, 0.5845707250841654, 1500
NG3, 0.9129991044388099, 0.9127867287020704, 0.9132115790243794, 1200
NG3, 0.7992636678947557, 0.7954892678684415, 0.803074055866067, 1200
crisis4, 0.564841483915579, 0.525658991670467, 0.6103357618290707, 2000
crisis4, 0.5104548838368823, 0.49743445584806595, 0.524175256646707, 2000
R4, 0.4336136718735136, 0.4147774004289096, 0.454242154816049, 800
R4, 0.6668362512809265, 0.654251926629872, 0.6799141811145859, 800
NG5, 0.5175334069428196, 0.4779697784845052, 0.5642378143190119, 2000
NG5, 0.7248214783216922, 0.7134496914003036, 0.7365616503951001, 2000
R5, 0.49451759002505113, 0.4743867383499495, 0.5164326835825481, 500
R5, 0.49655615583255686, 0.4692868908647755, 0.5271900504816729, 500
NG6, 0.6668389441338765, 0.6419570010108614, 0.6937274862456629, 2400
NG6, 0.6966057850444244, 0.6735974493944126, 0.721241518073826, 2400
R6, 0.5034153619163442, 0.4448067946247224, 0.5798125357673322, 1197
R6, 0.5615025992577137, 0.5196845165919142, 0.6106396811822642, 1197
crisis3, 0.4350343020240914, 0.39459932783562324, 0.4847022050535628, 0.25228398727748635, 1500
crisis3, 0.5336313840927271, 0.5040533423870889, 0.566897122712763, 0.4099650097187638, 1500
NG3, 0.8843871148113067, 0.8840667562245607, 0.8847077056584036, 0.921434443699564, 1200
NG3, 0.8462244571316175, 0.8444813957899744, 0.8479747289268892, 0.8701075409271835, 1200
crisis4, 0.6688756774734131, 0.6498410915236181, 0.6890590006638001, 0.5599425727065742, 2000
crisis4, 0.5916762568702154, 0.5590992421876897, 0.6282844855459434, 0.4157129304081529, 2000
R4, 0.33982933097709395, 0.2749811908260644, 0.444702410256342, 0.13405439678670159, 800
R4, 0.3831097948622248, 0.30673836396327686, 0.5101186621325123, 0.14874484801082846, 800
NG5, 0.7955844751305694, 0.7911755775229061, 0.8000427860614227, 0.7673640544807495, 2000
NG5, 0.691019888700637, 0.6751471796438389, 0.7076569012578496, 0.576874995485266, 2000
R5, 0.49622458332105246, 0.46338543572403784, 0.5340732253424173, 0.3604752333970326, 500
R5, 0.5860788109605728, 0.5624483081567669, 0.6117820019985578, 0.5071506812891137, 500
NG6, 0.695959644317572, 0.6747620381798664, 0.7185322901114755, 0.5282368141170674, 2400
NG6, 0.7020615993596948, 0.682462740418999, 0.7228194150108412, 0.5444749222818078, 2400
R6, 0.5514734474794885, 0.5084456776701954, 0.6024570305202518, 0.3664480515714823, 1197
R6, 0.49860522079088077, 0.4315696769644159, 0.5902955978831749, 0.25462046033611707, 1197
