index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, maxFeature, numDocs, useHashingPipeLine, date 
crisis3, 0.5420473875915548, 0.5118687755376082, 0.5760074703689886, 0.42546607012377474, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.149053  
crisis3, 0.429716105875776, 0.3885836941858287, 0.4805872946355784, 0.24489232296734573, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.170995  
crisis3, 0.5407306156820856, 0.5142811690657815, 0.5700481546922015, 0.4476091610521984, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.193934  
crisis3, 0.556835336386639, 0.527324936663952, 0.5898444836434722, 0.44708733753464863, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.217869  
crisis3, 0.5445256167189253, 0.5139105601591311, 0.5790193838447356, 0.42881471859372156, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.240335  
crisis3, 0.35436476322487587, 0.30241041250897244, 0.4278738292787637, 0.16043263812309957, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.259284  
crisis3, 0.556835336386639, 0.527324936663952, 0.5898444836434722, 0.44708733753464863, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.279231  
crisis3, 0.4333907093100435, 0.39442363608441544, 0.48090134568476256, 0.25919488271626057, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.298180  
crisis3, 0.43794998741827496, 0.3696665036512799, 0.5371750561302194, 0.2825536285036483, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.318127  
crisis3, 0.5093531439055772, 0.4778184062882435, 0.5453444177862953, 0.37288694263907013, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.339583  
crisis3, 0.43142541736963214, 0.36439296465035687, 0.5286794330555685, 0.27571130319386855, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.359529  
crisis3, 0.43430287502565834, 0.3937605937561267, 0.4841520156081549, 0.2512720518716538, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.377481  
crisis3, 0.548746971269976, 0.5187428350062698, 0.5824350727905657, 0.4352288450777137, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.396430  
crisis3, 0.43662613306849557, 0.39637577708570193, 0.4859749193274782, 0.254535044298588, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.414382  
crisis3, 0.4495183566429824, 0.37268084302081556, 0.5662689114794809, 0.32357692866028015, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.435328  
crisis3, 0.6577818830365072, 0.647692151826986, 0.6681909438865329, 0.6318207454648643, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 17:13:19.456785  
