index, km_v, km_h, km_c, km_adjustRand, ag_v, ag_adjustedRand, sc_v, sc_adjustedRand, nFeature, numDocs, useHashing, date 
crisis3, 0.6014735257775549, 0.5816831943632413, 0.6226579208766527, 0.5199587884236048, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.172235  
crisis3, 0.5130937910708064, 0.48192655598368483, 0.5485710714434864, 0.3786211038790628, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.203867  
crisis3, 0.6152702309656088, 0.5909112784022672, 0.6417238128965188, 0.5471320348160127, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.242204  
crisis3, 0.3415742967596138, 0.31347599914647983, 0.37520571293466876, 0.23823960676016415, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.286346  
crisis3, 0.391771416559889, 0.3710203616545613, 0.41498118692436037, 0.3067999515803841, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.322840  
crisis3, 0.2628057426363431, 0.20797947853600107, 0.35688575986588594, 0.07160911659987985, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.362823  
crisis3, 0.6014735257775549, 0.5816831943632413, 0.6226579208766527, 0.5199587884236048, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.398272  
crisis3, 0.3565765865736991, 0.26170223152299293, 0.5593602843148962, 0.2023213188929518, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.439141  
crisis3, 0.35525037137081095, 0.3021820523233969, 0.4309288167206408, 0.1575335567741908, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.475740  
crisis3, 0.43592053891993704, 0.36818965951865185, 0.5341878667663599, 0.2779298427031758, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.512617  
crisis3, 0.4843163305659209, 0.4498970627275054, 0.5244383628509842, 0.3246433644668169, 0.2425812366191477, 0.010373549799069197, 0.03979519291518766, 0.003036851561645567, 1000, 1500, False, 2023-06-28 16:54:43.548521  
NG3, 0.875553316688532, 0.8755028599383455, 0.875603779254874, 0.9215460110250218, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.031306  
NG3, 0.8338400357922252, 0.8315607683550112, 0.8361318322923559, 0.8503297644138338, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.070202  
NG3, 0.8500228759815386, 0.8494335866259548, 0.8506129835365159, 0.8925770975530753, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.108612  
NG3, 0.8230172459367068, 0.821207035354775, 0.8248354547491707, 0.8509827329475784, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.148505  
NG3, 0.8578150841574695, 0.8571981205931322, 0.858432936473647, 0.8972505255905475, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.188400  
NG3, 0.875553316688532, 0.8755028599383455, 0.875603779254874, 0.9215460110250218, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.228376  
NG3, 0.8752071412756016, 0.8746869564388997, 0.8757279451984391, 0.911522987127187, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.261288  
NG3, 0.8449759496907148, 0.8441202362840061, 0.8458333997895636, 0.8826309431159216, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.307195  
NG3, 0.8989795580917297, 0.8988237365150258, 0.8991354337047764, 0.9357895492781572, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.345151  
NG3, 0.9007026855564478, 0.9005011782607003, 0.9009042830559165, 0.9357368483112652, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.376393  
NG3, 0.8744454539148663, 0.8736314606493145, 0.8752609654475497, 0.9041737820503791, 0.30850542435529565, 0.02122932106974856, 0.8130196076236885, 0.8691482374378939, 1000, 1200, False, 2023-06-28 16:54:45.423648  
crisis4, 0.5750357505560023, 0.5361927606003349, 0.6199460113047792, 0.3844507198006274, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:54:47.173173  
crisis4, 0.629251693083284, 0.6012759072835925, 0.6599577925940018, 0.4880371609177931, 0.2928274819675092, 0.012988830888989519, 0.06673473479749487, 0.0022926944098440693, 1000, 2000, False, 2023-06-28 16:54:47.211577  
